college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
thames international college,surya bikram gyawali marg old baneshwor kathmandu,tribhuvan university,bachelor of business administration bba bachelor of information management bim bachelor of arts in social work basw bachelor of business studies bbs bachelor of computer application bca bachelor of business management bbm bachelor of arts in psychology bpsy bachelor of arts in rural development brd bachelor of arts in journalism and mass communication bajm bachelor of arts in sociology ba sociology master of business studies mbs cmat entrance preparation bca entrance preparation,private institution,014464584 014465660,admissionsthamescollegeedunp,34,3,900
texas international college,mitrapark chabhil kathmandu,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca bachelor of business studies bbs bachelor of arts in social work basw bachelor of business management bbm bachelor of arts ba master of business studies mbs,private institution,014579017 014490670 014488627,enquirytexasintledunp,34,3,649
kings college,babar mahal kathmandu,westcliff university ca usa,bachelor in business administration bba bba digital marketing bba investment and economics bba applied arts and design bachelor of science in information technology  data science bsit data science master in business administration mba mba entrepreneurship mba nonprofit mba agribusiness mba technology and innovation mba data analytics transform your online teaching emotional intelligence mindset immersed a design approach to problem solving,private institution,015325909  015324520  015324574,admissionskingscollegeedunp,40,3,28
padmashree college,tinkune kathmandu,tribhuvan university,bachelor of information technology bit ba hons in business and hospitality management babhm bachelor of computer application bca bachelor of food technology btech food,private institution,014112252  014112403,padmashreecollegegmailcom,34,3,948
janamaitri multiple campus,kuleshwor kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education bachelor of business studies bbs bachelor of business management bbm bachelor of computer application bca bachelor of arts ba bachelor of arts in social work basw bachelor of education bed bachelor of education in information communication technology bicte master of business studies mbs master of education general med,community institution,015377202,infojanamaitriedunp,24,1,533
nepal college of information technology,balkumari lalitpur,pokhara university,bachelor of business administration bba bachelor of civil engineering bachelor of engineering in information technology be it bachelor of software engineering bachelor of electronics and communication engineering be bachelor of computer engineering be computer bachelor of computer application bca master of computer information systems mcis master of computer engineering msc in computer science,private institution,015186354  015186358  015186360,infoncitedunp,28,3,56
khwopa college,dekocha6 bhaktapur,tribhuvan university,msc environmental science master of business studies mbs ma in english ma english ma in economics ma economics bachelor of business management bbm bsc environmental science bsc physics bachelor of business studies bbs bachelor of arts in social work basw bachelor of arts ba,community institution,016610932  01 6618031,infokhwopacollegeedunp,34,1,266
international school of tourism and hotel management ist college,gyaneshwor opposite to german embassy kathmandu,salzburg university of applied sciences,fhs diploma in hotel management bhm fhs diploma in travel and tourism management bttm 102 management  national examination board and tourism school salzburg austria,private institution,014534350 014534185,sanindraistorgnp,31,3,396
certified college of accountancy cca,thapagaun new baneshwor kathmandu,acca,acca acca foundations in accountancy fia fia,private institution,015245126,ccanepalgmailcom,0,3,931
kist college  ss,kamalpokhari kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of business administration bba bachelor of information management bim bachelor of information technology bit bachelor of business studies bbs bsc microbiology master of business studies mbs msc microbiology master of information technology mit,private institution,014534990 014534178,infokistedunp,24,3,470
softwarica college of it and ecommerce,dillibazar kathmandu,coventry university uk,bsc hons ethical hacking and cybersecurity bsc hons computing msc data science and computational intelligence,private institution,014441577  014425661,hellosoftwaricaedunp,8,3,313
the british college,thapathali kathmandu,acca,gce alevel nonscience alevel nonscience gce alevel science alevel science acca acca bba hons business and management bsc hons hospitality business management bhm bsc hons cyber security and digital forensics bsc hons computing bsc hons data science mba executive mba graduate msc international business management mibm msc information and technology msc advanced computer science,private institution,015970003,infothebritishcollegeedunp,0,3,932
kantipur college of management and information technology,old baneshwor kathmandu,tribhuvan university,bachelor of business administration bba bachelor of information management bim bachelor of computer application bca,private institution,014479939,kcmitcollegegmailcom,34,3,687
silver mountain school of hotel management,lainchaur kathmandu,american hospitality academy usa,bachelor in international culinary arts ba in international hospitality and tourism management diploma in international professional culinary arts higher diploma in international culinary arts dica bartending course wine appreciation barista training culinary shortterm course dining etiquette training food safetyhygiene training kids cooking front office training housekeeping training bakery training,private institution,014415038  014444086,infosilvermountainedunp,2,3,548
prime college,naya bazar khusibu kathmandu,tribhuvan university,bachelor of business administration bba bachelor of information management bim bachelor of business management bbm bachelor of business studies bbs bachelor of computer application bca bsc computer science and information technology bsc csit master of business studies mbs,private institution,014361690 014970072,infoprimeedunp,34,3,667
nepal mega college,babarmahal kathmandu,national examinations board,ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 law 2 law bachelor of business studies bbs bachelor of arts in social work basw bachelor of computer application bca bachelor of business management bbm master of business studies mbs ma in rural development mrd,private institution,015705488  015706450,infonepalmegacollegeedunp,24,3,29
lalitpur engineering college,chakupat patan dhoka patan lalitpur,tribhuvan university,bachelor of civil engineering be civil bachelor of computer engineering be bachelor of computer application bca,private institution,015260216  015260215,infolecedunp,34,3,215
peoples campus,paknajol kathmandu,national examinations board,ten plus two 2 management 2 mangement bachelor of business administration bba bachelor of business management bbm bachelor of business studies bbs master of business studies mbs,community institution,014251412  014251990,infopeoplescampusedunp,24,1,696
quest international college,gwarko lalitpur,pokhara university,bachelor of business administration bba bachelor of hotel management bhm master of business administration mba,private institution,015421950 015547669,infoquestedunp,28,3,391
kathmandu forestry college,koteshwor kathmandu,tribhuvan university,bsc forestry msc in natural resource management and rural development msc in geographical information science and systems diploma in forestry,private institution,015147211,mailkafcoledunp,34,3,529
saim college,old baneswor chowk kathmandu,pokhara university,bachelor of business administration bba mba global business,private institution,014574747,infosaimedunp,28,3,688
nepal college of management,dhobighat lalitpur,kathmandu university,bachelor in hospitality management bhm bachelor of business administration bba,private institution,015188353  015188364  015188274,infoncmedunp,17,3,298
st xaviers college maitighar,maitighar kathmandu,national examinations board,bachelor of information management bim bsc computer science and information technology bsc csit bsc microbiology bsc physics bachelor of arts ba bachelor of business studies bbs master of business studies mbs msc physics msc microbiology gce alevel science alevel science gce alevel nonscience alevel nonscience ten plus two 2 science 2 science bachelor of arts in major english ba major english bachelor of arts in social work basw bachelor of arts in psychology bpsy bachelor of arts in journalism and mass communication bajm,private institution,014221365  014244636,ktmsxcedunp,24,3,601
public youth campus,dhobichaur kathmandu,tribhuvan university,bachelor of business studies bbs bachelor of business administration bba bachelor in travel and tourism management bttm bachelor of business management bbm master of business studies mbs master of business management mbm master of travel and tourism management mttm,constituent institution,97714251025 4251207,infopycedunp,34,2,295
samarpan academy institute of crisis management studies,dhumbarahi 4 kathmandu,tribhuvan university,master in crisis management studies mcms masters in counseling psychology mcp bachelor of computer application bca,private institution,014008181 014008182,infotuicmsedunp,34,3,302
uniglobe college,new baneshwor kathmandu,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi mba finance mba master of business administration mba,private institution,014115690  014115569  014115508,mailuniglobeedunp,28,3,677
janakpur engineering college kupondole,kupondole lalitpur lalitpur,tribhuvan university,bachelor of civil engineering be civil bachelor of electronics communication and information engineering be bachelor of computer engineering be,private institution,015435822,infojecedunp,34,3,539
excel business college,lakhechaur marg new baneshwor kathmandu,pokhara university,bachelor of business administration bba bba in banking and insurance bbabi master of business administration mba,private institution,01 4485109  014462170,infoexcelcollegeedunp,28,3,551
kfa business school,mid baneshwor kathmandu,lincoln university college,master of business administration mba bsc hons in hospitality management bhm bachelor of computer science hons network technology  cyber security bcs,private institution,014491414,infokfaltdcom,19,3,642
institute of advanced communication education and research,thapagaon road new baneshwor kathmandu,pokhara university,mphil in english ma in english,private institution,014567528 014571915,infoiaceredunp,28,3,929
goldengate international college,battisputali old baneshwor kathmandu,national examinations board,bachelor of business studies bbs bachelor of business management bbm bachelor of computer application bca bachelor of arts ba bachelor of arts in social work basw bachelor of hotel management bhm bachelor of food technology btech food bsc physics bsc microbiology bsc environmental science msc physics msc microbiology msc environmental science master of business studies mbs ma in english ma english ma in economics ma economics ten plus two 2 science 2 science ten plus two 2 humanities 2 humanities ten plus two 2 management 2 mangement,private institution,014477082  014495165,infogoldengateedunp,24,3,98
kathmandu college of management,gwarko lalitpur,siam university thailand,bba finance and banking bba marketing,private institution,015201997  015200746  015201434,kcmkcmedunp,30,3,391
karnali college of health sciences,gaushala kathmandu,purbanchal university,bachelor of pharmacy b pharm bachelor of public health bph,private institution,014570906 014570205,infokarnalicollegeedunp,29,3,359
college of biomedical engineering and applied sciences,bishalnagar kathmandu,purbanchal university,bachelor of engineering in biomedical engineering,private institution,014541467  014537822,infobiomedicaledunp,29,3,187
cosmos college of management and technology,tutepani near satdobato lalitpur,pokhara university,bachelor of business administration bba bachelor of electronics and communication engineering be bachelor of computer engineering be computer bachelor of engineering in information technology be it bachelor of civil engineering bachelor of architecture barch,private institution,015151411  015151704,infocosmoscollegeedunp,28,3,961
himalayan institute of science and technology,new baneshwor kathmandu,purbanchal university,bachelor of civil engineering be civil msc in engineering management msc in information system engineering,private institution,014784951  014784954  014112086,infohistedunp,29,3,677
midvalley international college,gyaneshwor kathmandu,help university,bachelor of business in hospitality management hons bhm bachelor of business finance hons bbaf bachelor of information technology hons bit professional diploma in hotel management prediploma in hotel management,private institution,014435188  014537188,infomidvalleyedunp,13,3,395
aitm college,knowledge village khumaltar heights mahalaxmi lalitpur,national examinations board,bachelor in international hotel and tourism management bsc hons computing and information technology bsc cit international masters of business administration mba ten plus two 2 science 2 science ten plus two 2 management 2 mangement,private institution,9849449503  9818414682,enquiriesaitmedunp,24,3,519
nca college of management,anup marga minbhawan new baneshwor kathmandu,tribhuvan university,acca acca bachelor of business studies bbs,private institution,014790241,adminncaedunp,34,3,17
swastik college,madhyapur thimi 3 chardobato madhyapur thimi bhaktapur,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca,private institution,016635174,contactswastikcollegeedunp,34,3,579
koteshwor multiple campus,mahadevsthan koteshwor kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education bachelor of business studies bbs bachelor of education bed bachelor of arts ba master of business studies mbs,community institution,014155145 014155266,infokoteshworcampusedunp,24,1,590
seed financial academy,dillibazar kathmandu,oxford brookes university,bsc hons in applied accounting bsc hons foundations in accountancy fia fia diploma in international financial reporting standards dipifr acca acca,private institution,014410113,infoseedfinancialedunp,42,3,313
united college,kumaripati lalitpur,tribhuvan university,bachelor of computer application bca bachelor of business management bbm bachelor of business studies bbs master of business studies mbs,private institution,015537527 015537530 015538938,ucollegeunitededunp,34,3,536
pascal national college,saatdobato lalitpur,tribhuvan university,bachelor of computer application bca,private institution,015916910,infopascalcollegeedunp,34,3,792
kathmandu bernhardt college,bafal kalanki kathmandu,tribhuvan university,bsc computer science and information technology bsc csit bachelor of business studies bbs bachelor of arts in social work basw bachelor of computer application bca bachelor of business management bbm master of business studies mbs,private institution,015237330  015237361,ktmbernhardtkbcedunp,34,3,34
lumbini banijya campus,devinagar butwal rupandehi,tribhuvan university,bachelor of business studies bbs bba  finance and accountancy bbafa bachelor of management studies bms bachelor of business managementapplied bbm applied master of business studies mbs mbabanking and finance mbabf mbs in finance mbsf,community institution,071410500,infolbcedunp,34,1,276
counseling psychology and social studies college,buddhanagar kathmandu,tribhuvan university,post graduate diploma in counseling psychology six months training on psychosocial counseling,private institution,015905385  014782285  9843919935  9849422222,cpssc2006gmailcom,34,3,193
liberty college,pragati marg2 anamnagar kathmandu,pokhara university,bachelor of business administration bba bachelor of hotel management bhm,private institution,015706612 015705386,infolibertycollegeedunp,28,3,731
central department of nepali  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in nepali ma nepali mphil in nepali phd in nepali,constituent institution,014331132,,34,2,515
central department of hindi  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in hindi ma hindi,constituent institution,,,34,2,515
lalitkala campus,bhotahiti kathmandu,tribhuvan university,bachelor of fine arts bfa ma in music ma music,constituent institution,014249681,,34,2,155
mahendra bindeshwori multiple campus,rajbiraj bishnupur saptari,tribhuvan university,ma in economics ma economics bachelor of laws llb master of business studies mbs,constituent institution,,,34,2,750
jumla multiple campus,chandannath jumla,tribhuvan university,bachelor of business studies bbs bachelor of education bed,constituent institution,97787520046,,34,2,217
mahendra ratna campus,tahachal kathmandu,tribhuvan university,bachelor of education bed master of education general med bachelor of education in information communication technology bicte post graduate diploma in social studies med in science education post graduate diploma in mathematics education,constituent institution,014271709 014271728,,34,2,905
central department of psychology  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in psychology ma psychology post graduate diploma in school counselling pgdsc,constituent institution,014332539,infopsychologytuedunp,34,2,515
purbanchal university school of health sciences,gothgaun sundarharaicha morang,purbanchal university,bsc nursing master of public health mph bachelor of pharmacy b pharm bachelor of public health bph post basic bachelor in nursing bns master in pharmacy clinical pharmacy,constituent institution,021425007,pucmaspurbunivedunp,29,2,385
gorkha campus,gorkha gorkha,tribhuvan university,bachelor of education bed master of education general med bachelor of science general bsc bachelor of education in information communication technology bicte,constituent institution,97764420233,,34,2,381
central department of fine arts  tribhuvan university,kirtipur kathmandu,tribhuvan university,master of fine arts mfa,constituent institution,,,34,2,515
central department of linguistics  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in linguistics ma linguistics,constituent institution,97714330696,cdltu2012gmailcom,34,2,515
hetauda campus,hetauda makwanpur,tribhuvan university,bachelor of education bed master of education general med,constituent institution,057520453 520865,,34,2,406
bhojpur multiple campus,bhojpur,tribhuvan university,bachelor of arts ba bachelor of business studies bbs bachelor of education bed med nepali language education med education planning and management,constituent institution,97729420106,bhojpurmcgmailcom,34,2,152
central department of management  tribhuvan university,kirtipur kathmandu,tribhuvan university,master of business studies mbs mphil in management mba in finance mba  f mba in marketing mbam mba in corporate leadership mbacl master of business management mbm,constituent institution,014330847 014332977,infocdmtuedunp,34,2,515
paklihawa campus,bhairahawa siddharthanagar rupandehi,tribhuvan university,bsc agriculture bachelor of veterinary science and animal husbandry bvscah,constituent institution,071520191 071520580,,34,2,120
purwanchal campus  institute of engineering,dharan sunsari,tribhuvan university,bachelor of civil engineering be civil bachelor of agriculture engineering be bachelor of computer engineering be bachelor of electronics communication and information engineering be bachelor of mechanical engineering be bachelor of electrical engineering be bachelor of architecture barch msc in land and water engineering msc in sanitation engineering,constituent institution,025526304 025526305 025520120,ioepcdharangmailcom,34,2,291
central department of microbiology  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc microbiology phd in microbiology,constituent institution,014331869 014330664,cdm1990microbiotuedunp,34,2,515
central department of botany  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc in biodiversity and environmental management phd in botany msc in botany,constituent institution,977 14331322 4333515,infocdbtuorgnp,34,2,515
central department of computer science and information technology  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc computer science and information technology msc csit master of information technology mit,constituent institution,97714333010 head 97714332619 office,infocdcsitedunp,34,2,515
central department of english  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in english ma english mphil in english phd in english,constituent institution,014331851,infocdetuedunp,34,2,515
central department of environmental science  tribhuvan university,kirtipur kirtipur kathmandu,tribhuvan university,msc environmental science phd in environmental science msc in environmental health in disaster,constituent institution,977 14332147 4332711,infocdesedunp,34,2,516
central department of rural development  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in rural development mrd phd in rural development phd in rd,constituent institution,014331383,contactcdrdedunp,34,2,515
central department of political science  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in political science ma political science phd in political science,constituent institution,014333200,infocdpstuedunp,34,2,515
central department of physics  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc physics phd in physics,constituent institution,014331054014330469,,34,2,515
central department of zoology  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc zoology phd in zoology,constituent institution,97714331896,infocdztuedunp,34,2,515
central department of international relations and diplomacy  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in international relations and diplomacy mird,constituent institution,014781219,adminmirdedunp,34,2,515
central department of hydrology and meteorology  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc meteorology phd in hydrology and meteorology,constituent institution,014331418014333887,,34,2,515
central department of economics  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in economics ma economics mphil in economics phd in economics,constituent institution,97714330950  4333616,cedeconmailcomnp,34,2,515
central department of chemistry  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc chemistry phd in chemistry,constituent institution,014332034,infocdctuedunp,34,2,515
ayurveda campus,kirtipur kathmandu,tribhuvan university,md ayurveda kayachikitsa bachelor of ayurvedic medicine and surgery bams,constituent institution,014332562,infoayurvedacampusedunp,34,2,515
tehrathum multiple campus,aathrai tehrathum,tribhuvan university,bachelor of education bed bachelor of arts ba ma in population studies,constituent institution,026469023,,34,2,8
central department of sociology  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in sociology mphil in sociology,constituent institution,014331852,,34,2,515
central department of statistics  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc statistics phd in statistics,constituent institution,014331710,infotucdsedunp,34,2,515
central department of mathematics tribhuvan university,kirtipur kathmandu,tribhuvan university,msc in mathematics phd in mathematics mphil in mathematics,constituent institution,97714331977,infocdmathtuedunp,34,2,515
birgunj nursing campus,birgunj parsa,tribhuvan university,bsc nursing bachelor of nursing science bns,constituent institution,051522580 051530961,nursingcampusbirgunj004gmailcom,34,2,178
biratnagar nursing campus,biratnagar morang,tribhuvan university,bachelor of nursing science bns bsc nursing,constituent institution,021442282,infotuiombncedunp,34,2,168
pulchowk campus  institute of engineering,pulchowk lalitpur,tribhuvan university,bachelor of mechanical engineering be bachelor of electronics communication and information engineering be bachelor of electrical engineering be bachelor of architecture barch bachelor of computer engineering be msc in climate change and development msc in computer system and knowledge engineering msc in construction management msc in disaster risk management msc in energy system planning and management msc in power system engineering msc in renewable energy engineering msc in structural engineering msc in technology and innovation management msc in transportation engineering msc in urban planning msc in water resources engineering msc in material science and engineering msc in information and communication engineering msice msc in environmental engineering bachelor of civil engineering be civil bachelor in aerospace engineering be msc in mechanical system design and engineering msmsde msc in infrastructure engineering and management msc in energy for sustainable social development msc in energy efficient building msc earthquake engineering msc in electrical engineering in distributed generation bachelor in chemical engineering msc in applied mathematics msc in hydropower engineering masters in architecture msc in computer engineering specialization in data science and analytics msc in geotechnical engineering phd in engineering,constituent institution,015524749,sysadminioeedunp,34,2,735
lamjung campus,sundarbazar lamjung,tribhuvan university,bsc agriculture,constituent institution,97766529313,infolamjungcampusedunp,34,2,893
maharajgunj medical campus,maharajgunj kathmandu,tribhuvan university,master in dental surgery mds ms clinical anatomy msc medical imaging technology msc mit mphil clinical psychology msc clinical microbiology msc clinical biochemistry md general practice mdgp md clinical physiology md clinical pharmacology mds orthodontics mds ortho ms in orthopaedic and trauma surgery ms general surgery ms clinical otorhinolaryngology and head and neck surgery md in ophthalmology md in obstetrics and gynaecology md internal medicine md biochemistry md in psychiatry md pathology md microbiology md paediatrics md forensic medicine md dermatology md anaesthesiology bachelor in perfusion technology b perf md in radio diagnosis bachelor of dental surgery bds bachelor in medical laboratory technology bmlt mbbs bachelor of pharmacy b pharm bsc medical imaging technology bsc mit bachelor in optometry b optom bachelor in audiology and speech language pathology baslp dm cardiology dm critical care medicine dm emergency medicine dm gastroenterology dm nephrology dm neurology mch cardiothoracic and vascular surgery mch surgical gastroenterology mch neurosurgery mch plastic surgery mch urology,constituent institution,014410911 01441372,iomdeaniomedunp,34,2,595
school of health and allied sciences  pokhara university,dhungepatan pokhara pokhara lekhnath kaski,pokhara university,bsc medical laboratory technology bscmlt bachelor of public health bph bsc nursing master of pharmacy mpharm master of public health mph bachelor of nursing science in oncology msc in medical biochemistry msc in medical microbiology bachelor of physiotherapy bpt bachelor of pharmacy b pharm,constituent institution,061561698  061561697,infopushasedunp,28,2,306
pokhara nursing campus,ramghat pokhara pokhara lekhnath kaski,tribhuvan university,master in nursing bachelor of nursing science bns bsc nursing,constituent institution,97761521961,infoiompncedunp,34,2,763
rampur campus,rampur bharatpur chitwan,tribhuvan university,msc in agriculture msc in animal science master of veterinary science mvsc msc in aquaculture bsc agriculture,constituent institution,97756531813 531814,adminiaasedunp,34,2,770
maharajgunj nursing campus,maharajgunj kathmandu,tribhuvan university,bachelors in midwifery science master in nursing bachelor of nursing science bns bsc nursing,constituent institution,014720423 014721654,nsgcampusiomedunp,34,2,595
central department of anthropology  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in anthropology ma anthropology mphil in anthropology phd in anthropology,constituent institution,014334832,,34,2,515
public administration campus,balkhu kathmandu,tribhuvan university,bachelor of public administration bpa master of public administration mpa mphil in public administration,constituent institution,97714673011,infocdpaedunp,34,2,54
pokhara campus  institute of forestry,hariyokharka pokhara pokhara lekhnath kaski,tribhuvan university,phd in forestry msc in forestry msc in natural resource management and rural development msc in watershed management bsc forestry msc community forestry,constituent institution,061430469 061431689,infoiofedunp,34,2,400
hetauda campus  institute of forestry,hetauda makwanpur,tribhuvan university,bsc forestry msc in forestry,constituent institution,057520453 057520841,,34,2,406
pahs school of nursing lalitpur nursing campus,sanepa lalitpur,patan academy of health sciences,bachelors in midwifery science master in nursing bachelor of nursing science bns bsc nursing,constituent institution,97715521634 015526490,infolncedunp,27,2,808
ratna rajya laxmi campus,pradashani marga kathmandu,tribhuvan university,ma in nepali ma nepali ma in english ma english ma in sociology ma in journalism and mass communication ma in population studies bachelor of arts ba ma in economics ma economics bachelor of computer application bca master of arts in nepal bhasa,constituent institution,014230084 014225819,inforatnarajyalaxmicampusedunp,34,2,730
central department of education  tribhuvan university,kirtipur kirtipur kathmandu,tribhuvan university,master of education in economics education master of education in geography education med master of education in health education med master of education in history education med master of education in physical education med med in political science education master of education in population education med med in science education bachelor of special needs education bed sne master of social studies education mssed med special needs education,constituent institution,014331337 01433322,infotucdededunp,34,2,516
nepal law campus,exhibition road kathmandu,tribhuvan university,bachelor of arts bachelor of laws ballb bachelor of laws llb three years llm master of laws llm,constituent institution,014225358,infonlcedunp,34,2,326
pashchimanchal campus  institute of engineering,lamachaur pokhara pokhara lekhnath kaski,tribhuvan university,bachelor of electronics communication and information engineering be bachelor of computer engineering be bachelors degree in geomatics engineering bachelor of electrical engineering be bachelor of mechanical engineering be msc in communication and knowledge engineering msc in electrical engineering in distributed generation msc in infrastructure engineering and management bachelor of civil engineering be civil msc in rock and tunnel engineering msc in geospatial engineering bachelor in automobile engineering,constituent institution,061440457  061440465  061440463  061440093,infowrcedunp,34,2,557
central department of population studies  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in population studies phd in population studies mphil in population studies,constituent institution,9771331323,cdpswlinkcomnp,34,2,515
thapathali campus  institute of engineering,thapathali kathmandu,tribhuvan university,bachelor in industrial engineering be bachelor of electronics communication and information engineering be bachelor of civil engineering be civil bachelor of architecture barch msc mechanical engineering in design and manufacturing msc earthquake engineering bachelor in automobile engineering bachelor of mechanical engineering be bachelor of computer engineering be msc in informatics and intelligent systems engineering,constituent institution,014246465 014246307,infothapathalicampusedunp,34,2,932
amrit science campus,lainchaur kathmandu,tribhuvan university,bsc computer science and information technology bsc csit msc physics bsc environmental science bsc microbiology bsc physics msc in mathematics msc in botany msc chemistry bachelors in information technology bit bsc botany bsc chemistry bsc mathematics bsc statistics bsc zoology msc zoology master of information technology mit,constituent institution,014411637 014410408,amritcampusntcnetnp,34,2,548
central department of biotechnology  tribhuvan university,kirtipur kathmandu,tribhuvan university,msc biotechnology phd in biotechnology,constituent institution,014336221,infobiotechtuedunp,34,2,515
central department of geology  tribhuvan university,kirtipur kathmandu,tribhuvan university,phd in geology msc geology msc engineering geology,constituent institution,97714332449,tugeologyieplcomnp,34,2,515
central department of nepalese history culture and archaeology  tribhuvan university,university campus kirtipur kathmandu,tribhuvan university,ma nepalese history culture and archaeology ma nehca phd in nepali culture history and archeology phd in nehca,constituent institution,014331976,infocdnehcaedunp,34,2,962
masters program in labor studies tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in labor studies ma labor studies,constituent institution,,,34,2,515
masters program in governance and anticorruption studies,kirtipur kathmandu,tribhuvan university,ma governance and anticorruption studies,constituent institution,014333616,,34,2,515
central department of sanskrit studies  tribhuvan university,university campus kirtipur kathmandu,tribhuvan university,ma in sanskrit ma sanskrit post graduate diploma in yoga science,constituent institution,01 4334272,infosanskrittuedunp,34,2,962
central department of home science  tribhuvan university,padma kanya multiple campus building bagbazar kathmandu,tribhuvan university,ma in home science post graduate diploma in women studies post graduate diploma in dietetics and public health nutrition phd in home science,constituent institution,014225209 014246497,,34,2,691
central department of library  information science  tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in library science,constituent institution,014331316,infocdlistuedunp,34,2,515
masters program in gender studies tribhuvan university,kirtipur kathmandu,tribhuvan university,ma in gender studies,constituent institution,014272128,magenderstudiesgmailcom,34,2,515
open and distance education centre  tribhuvan university,kirtipur kathmandu,tribhuvan university,master of educational science in digital pedagogy mes dp,constituent institution,014335403,directorodectuedunp,34,2,515
nepalese army institute of health sciences college of nursing,tcmh complex mahankalsthan kathmandu,tribhuvan university,bachelor of nursing science bns bsc nursing master in nursing,private institution,014220267 014231042,connaihsedunp,34,3,904
nepalese army institute of health sciences,bhandarkhal sanobharyang kathmandu,tribhuvan university,bachelor in medical laboratory technology bmlt bachelor of public health bph ms general surgery md microbiology md clinical physiology md clinical pharmacology md in radio diagnosis md in psychiatry md in ophthalmology md in obstetrics and gynaecology ms clinical anatomy md general practice mdgp ms in orthopaedic and trauma surgery md internal medicine md dermatology md anaesthesiology md pathology md paediatrics ms clinical otorhinolaryngology and head and neck surgery mbbs,private institution,014881259,comnaihsedunp,34,3,125
b p koirala institute of health sciences,dharan sunsari,bpkihs,dm pulmonary critical care and sleep medicine dm neonatology dm gastroenterology and hepatology dm cardiology mch urosurgery master in dental surgery mds bachelor in perfusion technology b perf bachelor of nursing science in midwifery bns mid bsc medical laboratory technology bsc mlt md hospital administration msc in medical biochemistry bachelor of dental surgery bds bsc medical imaging technology bsc mit bsc nursing msc in medical microbiology mbbs master of public health mph ms human anatomy md biochemistry md community medicine and tropical diseases md forensic medicine and toxicology md pharmacology md in basic and clinical physiology md microbiology and infectious diseases md pathology md anaesthesiology and critical care medicine md dermatology and std md gynecology and obstetrics md general practice and emergency medicine md internal medicine md ophthalmology ms orthopedics ms otorhinolaryngology and head  neck surgery md pediatrics md psychiatry md radiodiagnosis and imaging ms surgery,public institution,97725525555 ext 40172278,academicbpkihsedu,5,4,291
school of mathematical sciences  tribhuvan university,kirtipur kathmandu,tribhuvan university,bachelor in mathematical sciences actuarial science bmathsc master in data science mds,public institution,,infosmstuedunp,34,4,515
school of medicine  patan academy of health sciences,lagankhel lalitpur,patan academy of health sciences,md anaesthesiology md dermatology md pathology mbbs md in general practice and emergency medicine mdgp ms general surgery ms orthopedics md pediatrics ms in otorhinolaryngology ent md in psychiatry md in radiology and imaging md obstetrics gynaecology md internal medicine,public institution,015545112 015545153,pahspahsedunp,27,4,546
kathmandu university school of medical sciences,dhulikhel kavrepalanchok,kathmandu university,master of physiotherapy mpt ms in orthopedics ms orthopedics md in psychiatry ms anatomy master in nursing msc n dm cardiology mch gi surgery mch urology msc in pharmacology msc anatomy mds oral pathology mds orthodontics md forensic medicine md physiology md pharmacology md paediatrics md obstetrics and gynaecology mds periodontics mds prosthodontics msc in midwifery msc mid bachelor of midwifery bmid bsc medical imaging technology bscmit msc in public health epidemiologyglobal health msc ph ms otorhinolaryngology ms general surgery ms ophthalmology md dermatology md anaesthesiology md radio diagnosis md pathology md internal medicine md community medicine bachelor of physiotherapy bpt bachelor in nursing science bns bsc laboratory medicine bachelor of dental surgery bds mbbs bsc nursing md general practice mdgp,public institution,011490497 011490290,kusmskuedunp,17,4,301
